,Exp1ImputeRMSE,Exp2ImputeModel,Exp2train_auroc,Exp2train_acc,Exp2train_bal_acc,Exp2train_logloss,Exp2test_auroc,Exp2test_acc,Exp2test_bal_acc,Exp2test_logloss,Exp2impute_auroc,Exp2impute_acc,Exp2impute_bal_acc,Exp2impute_logloss,Exp2impute_pipe,Exp2duration,Exp3ImputeModel,Exp3train_auroc,Exp3train_acc,Exp3train_bal_acc,Exp3train_logloss,Exp3impute_auroc,Exp3impute_acc,Exp3impute_bal_acc,Exp3impute_logloss,Exp3impute_pipe,Exp3duration
/tpot2_base_normal_MCAR_0.01/,45.09984637607201,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,0.9999808429118774,0.9968253968253968,0.00042487146610164145,1.0,0.9998275862068966,0.9999686648074453,0.0008632068170450797,0.99998978196199,0.9941379310344828,0.995597133471702,0.014555967027817713,['ExtraTreesClassifier_1'],5783.418993473053,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",1.0,1.0,1.0,4.5439139714350945e-05,0.9999999747500462,0.9998275862068966,0.9998394863563403,0.0009436499316886859,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",5539.444158554077
/tpot2_base_normal_MCAR_0.1/,39.75379506679361,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,7.23148131707492e-05,1.0,1.0,1.0,0.0004838773021856664,0.999566742666304,0.9662068965517241,0.9760263477427769,0.10794273975664517,['RandomForestClassifier_1'],6706.241296052933,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9999998857876704,0.9999616858237548,0.9871675943104515,0.0006472037849978282,0.9999989690159037,0.9991379310344828,0.9993266102328064,0.003812040921859759,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",8577.049682378769
/tpot2_base_normal_MCAR_0.3/,21.238336878185347,"{'model_name': 'SimpleImputer', 'strategy': 'median'}",1.0,1.0,1.0,1.4502610561108746e-05,1.0,1.0,1.0,0.000393468248304142,0.895207103514812,0.9062068965517242,0.596603948248715,0.29838747761180356,['RandomForestClassifier_1'],7007.252553462982,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9999785958230366,0.9970689655172413,0.9050692013407678,0.012978081618314262,0.9974335074759899,0.993103448275862,0.5461008760685054,0.023693806236030894,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",13590.496566534042
/tpot2_base_normal_MCAR_0.5/,27.777825147577154,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,1.4277543702619365e-05,1.0,1.0,1.0,0.0003564104689476474,0.8645630237073577,0.883448275862069,0.46147177917572746,0.7516449760842667,['RandomForestClassifier_1'],6049.447083950043,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9992491771887707,0.9761685823754789,0.5389788665579527,0.06362330663016007,0.9781684039675962,0.9653448275862069,0.4541565530732055,0.09639437002565612,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",14186.667220115662
/tpot2_base_normal_MCAR_0.9/,13.672752129822365,"{'model_name': 'SimpleImputer', 'strategy': 'mean'}",1.0,1.0,1.0,1.3338120834088835e-05,1.0,1.0,1.0,0.00040378703369253326,0.5975250626821025,0.785,0.1760594378735732,2.1577672590806456,['RandomForestClassifier_1'],5981.581284999847,"[('ExtraTreesClassifier_1', 'SimpleImputer_1')]",0.8420838747732245,0.8381417624521073,0.2463566094177232,0.4713726853240819,0.6591842801920536,0.8308620689655173,0.21975804685521425,0.5163973372890364,"[('ExtraTreesClassifier_1', 'SimpleImputer_1')]",13796.787715911865
/tpot2_base_imputation_MAR_0.01/,47.8374262447462,"{'model_name': 'RandomForestImputer', 'max_iter': 26, 'decreasing': True, 'min_samples_split': 0.30000000000000004, 'min_samples_leaf': 0.1, 'max_features': 0.9, 'warm_start': False}",1.0,1.0,1.0,6.841160135582257e-05,1.0,1.0,1.0,0.0004060173543262631,0.9999999368751158,0.9948275862068966,0.9881104505167001,0.008096364880971405,['RandomForestClassifier_1'],6550.409009695053,"[('RandomForestClassifier_1', 'KNNImputer_1')]",1.0,1.0,1.0,1.6424037206331912e-05,0.9999999747500462,0.9996551724137931,0.9999373296148905,0.000992754835769333,"[('RandomForestClassifier_1', 'KNNImputer_1')]",13798.677839279175
/tpot2_base_imputation_MAR_0.1/,30.189294064625642,"{'model_name': 'IterativeImputer', 'sample_posterior': False, 'initial_strategy': 'mean', 'imputation_order': 'random'}",1.0,1.0,1.0,1.7330789097105073e-05,1.0,1.0,1.0,0.00035049839315369046,1.0,1.0,1.0,0.0008410830509330344,['RandomForestClassifier_1'],6389.31471991539,"[('RandomForestClassifier_1', 'IterativeImputer_1')]",0.9999999821764635,0.9999425287356322,0.9839929911358484,0.0006071036770852682,1.0,0.9998275862068966,0.9999686648074453,0.0012058081916476121,"[('RandomForestClassifier_1', 'IterativeImputer_1')]",9043.892474412918
/tpot2_base_imputation_MAR_0.3/,106.39557104859253,"{'model_name': 'IterativeImputer', 'sample_posterior': False, 'initial_strategy': 'constant', 'imputation_order': 'ascending'}",1.0,1.0,1.0,1.2922537863379772e-05,1.0,1.0,1.0,0.00038444700088865124,0.9181746061095069,0.9762068965517241,0.7593574524501513,0.06976112942508704,['RandomForestClassifier_1'],6598.4250609874725,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9999528400193062,0.999176245210728,0.6925096445504609,0.0038782192312370053,0.9897160527312386,0.901896551724138,0.43012585498998146,0.224811356215472,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",10617.633763551712
/tpot2_base_imputation_MAR_0.5/,187.30586593166768,"{'model_name': 'IterativeImputer', 'sample_posterior': False, 'initial_strategy': 'mean', 'imputation_order': 'arabic'}",1.0,1.0,1.0,1.2485881524778022e-05,1.0,1.0,1.0,0.00037887424483846175,0.9888173991318147,0.9841379310344828,0.8187183933441273,0.09943788121728023,['RandomForestClassifier_1'],7130.289129257202,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",0.9999758760009646,0.9957088122605364,0.981725236848147,0.013015429512093613,0.9015609457895346,0.9948275862068966,0.6895163940114865,0.10280833302739728,"[('RandomForestClassifier_1', 'SimpleImputer_1')]",8663.518094539642
/tpot2_base_imputation_MAR_0.9/,148.98853395623718,"{'model_name': 'KNNImputer', 'weights': 'distance', 'keep_empty_features': False}",1.0,1.0,1.0,1.253701229234937e-05,1.0,1.0,1.0,0.0003649873993077684,0.8808813559909234,0.9010344827586206,0.4914325657844701,0.39247317014584526,['RandomForestClassifier_1'],6381.803156375885,"[('ExtraTreesClassifier_1', 'IterativeImputer_1')]",0.9990745078461245,0.9733333333333334,0.8311448515372739,0.06157577462758051,0.8656502306740876,0.9394827586206896,0.406948772593466,0.3456128999759561,"[('ExtraTreesClassifier_1', 'IterativeImputer_1')]",13113.069347143173
/tpot2_base_imputation_MNAR_0.01/,183.22043274630664,"{'model_name': 'IterativeImputer', 'sample_posterior': False, 'initial_strategy': 'constant', 'imputation_order': 'descending'}",1.0,1.0,1.0,1.2869559268568278e-05,1.0,1.0,1.0,0.00037825231026042026,0.9999999747500462,1.0,1.0,0.0007484993416762964,['RandomForestClassifier_1'],7430.461382865906,"[('RandomForestClassifier_1', 'KNNImputer_1')]",1.0,1.0,1.0,3.316744668660992e-05,0.9999997898538303,0.9994827586206897,0.9995004576183855,0.0012270965873775195,"[('RandomForestClassifier_1', 'KNNImputer_1')]",12425.500549077988
